name,lat,lng,status
JABALUYUN_069W374N_S,37.41112,-6.99696,old
BUNDUQA_319E300N_S,30.09522,31.93498,old
ROUTPOINT1415_053W383N_O,38.30589,-5.31816,old
USAYLA_407E250N_S,25.04085,40.79626,old
BAQQARA_331E310N_S,31.02385,33.12566,old
WAQISA_437E305N_S,30.55363,43.77652,old
RAMLA_348E319N_S,31.92484,34.86436,old
JIYADSAGHIR_239E319N_S,31.99027,23.96719,old
الکلایة,null,null,null
RAYKAN_526E285N_S,28.52097,52.67152,old
KASAN_716E412N_S,41.24406,71.64288,old
ABDIN_493E312N_S,31.22889,49.31456,old
KANBAYA_725E223N_S,22.35228,72.56065,old
RADHAN_547E301N_S,30.12067,54.70209,old
DANJI_516E329N_S,32.90827,51.67468,old
AJDABIYYA_202E304N_S,30.46697,20.20218,old
RIBATAFRIGHUN_652E372N_S,37.26306,65.27273,old
KHARKIRD_601E343N_S,34.31639,60.16386,old
QAZWIN_500E362N_S,36.27854,50.00110,old
ROUTPOINT1609_461E372N_O,37.20353,46.14572,old
KHAYWAN_440E162N_S,16.29079,44.06424,old
SAGHANIYAN_678E382N_S,38.26337,67.89454,old
TUSTAR_488E320N_R,32.05110,48.85461,old
IKHNA_307E315N_S,31.51979,30.79000,old
BATNMARR_397E216N_S,21.64499,39.73935,old
QADISIYYA_439E340N_S,34.09388,43.98259,old
TUS_594E364N_S,36.42208,59.49915,old
KHAWASH_618E277N_S,27.79777,61.88374,old
TARAZ_714E428N_S,42.83695,71.44044,old
وادی القری,null,null,null
ANDARAB_473E401N_S,40.10841,47.33087,old
البحیرة,null,null,null
QASRAHNAF_632E357N_S,35.76147,63.21212,old
WARWALIJ_688E367N_S,36.78174,68.89729,old
JUWAYN_616E317N_S,31.72221,61.60731,old
DIZAK_677E400N_S,40.09748,67.79942,old
ROUTPOINT1727_691E384N_O,38.49824,69.14618,old
KAH_677E352N_S,35.24443,67.72517,old
BARDAJ_475E402N_S,40.23581,47.56971,old
MIHRAJAN_578E365N_S,36.58050,57.84690,old
موسى آباذ,null,null,null
SARAQUSA_009W416N_S,41.63368,-0.92920,old
HALI_413E186N_S,18.62751,41.39305,old
KHANUQA_398E357N_S,35.75218,39.81661,old
ROUTPOINT0202_416E343N_O,34.39315,41.61558,old
BADHIBIN_465E321N_S,32.17087,46.59233,old
السونشة,null,null,null
JADILA_429E240N_S,24.09211,42.99135,old
DARGHASH_653E326N_S,32.61829,65.38750,old
SUWAR_499E544N_S,54.45304,49.96347,old
زياداباذ,null,null,null
TARIM_558E281N_S,28.18163,55.80841,old
ROUTPOINT1724_714E409N_O,40.99948,71.44240,old
SAMMURA_057W414N_S,41.44051,-5.76776,old
SHATIBA_005W389N_S,38.96551,-0.52276,old
SAMARRA_438E342N_S,34.20964,43.88134,old
BAYSAN_354E325N_S,32.50000,35.49256,old
KHULM_677E367N_S,36.74621,67.70299,old
RASMA_588E324N_S,32.43440,58.87027,old
سرى شهر,null,null,null
KAFRAH_524E295N_S,29.50609,52.49957,old
QINNASRIN_370E359N_S,35.99617,37.02701,old
وادي الملح,31.300360477190466,49.88406837177841,new
KAMAKH_390E395N_S,39.58627,39.02492,old
اسداواذ,null,null,null
BAGHSHUR_625E356N_S,35.60846,62.54722,old
KHAYM_395E223N_S,22.38571,39.56795,old
RIBATABSHUTURAN_559E332N_S,33.24359,55.93385,old
DHUKHUSHUB_392E247N_S,24.72896,39.29172,old
KUMIZ_572E277N_S,27.79812,57.22106,old
ZUBAYDIYYA_468E342N_S,34.23099,46.85168,old
قرية الرصد,null,null,null
QANUWAN_506E332N_S,33.23683,50.65469,old
BILIZMA_061E356N_S,35.63685,6.14010,old
ROUTPOINT0506_517E327N_O,32.79657,51.71485,old
قصر مهدى,null,null,null
DARTAL_650E321N_S,32.18280,65.03496,old
KUMSHARIK_307E306N_S,30.63742,30.75642,old
KHANIQIN_454E343N_S,34.34844,45.44708,old
KAHDA_520E353N_S,35.31676,52.04412,old
BARIMMA_435E350N_S,35.07982,43.57361,old
BAYGHU_042W374N_S,37.45788,-4.20406,old
QARYABARATIKIN_599E431N_S,43.19354,59.95269,old
SARWISTAN_524E314N_S,31.42233,52.43219,old
DIZAH_634E354N_S,35.42618,63.44735,old
QARN_402E214N_S,21.46576,40.21296,old
اسناخ,null,null,null
JIZAH_623E319N_S,31.96860,62.38610,old
ANBAR_437E333N_S,33.39492,43.70150,old
ABSHUR_574E326N_S,32.65943,57.40729,old
ARJISH_433E390N_S,39.02230,43.35895,old
USHMUNAYN_307E278N_S,27.85616,30.75576,old
DASKARA_449E339N_S,33.94151,44.92310,old
أرومية,null,null,null
SHAHRASTAN_515E298N_S,29.83157,51.51624,old
JAFARABADH_518E311N_S,31.19326,51.81266,old
KARA_531E307N_S,30.73791,53.12982,old
QUSTANA_510E354N_S,35.41491,51.03856,old
أمير,null,null,null
ROUTPOINT1204_010E353N_O,35.36942,1.05376,old
ZAFARANIYYA_484E348N_S,34.83858,48.42279,old
SANHUR_307E311N_S,31.16283,30.70832,old
الملتان,null,null,null
SHAMAT_560E297N_S,29.76249,56.01438,old
قرية جومة,null,null,null
MADINASHALAB_084W372N_S,37.22519,-8.42308,old
JANAD_441E136N_S,13.69225,44.17508,old
BITAN_432E287N_S,28.74899,43.27579,old
QUSTANTINIYYA_066E363N_S,36.33790,6.62703,old
JUNDAYSABUR_485E322N_R,32.29866,48.53919,old
الرام,null,null,null
DAZIQI_411E343N_S,34.33397,41.15980,old
DATHINA_419E232N_S,23.22544,41.92466,old
ROUTPOINT1901_706E300N_O,30.07040,70.63104,old
HUSAYN_407E356N_S,35.62321,40.71642,old
ASADABADH_481E348N_S,34.80031,48.15134,old
بلد روب,null,null,null
FIRZIN_567E299N_S,29.95407,56.77211,old
ROUTPOINT1919_623E301N_O,30.19274,62.39350,old
KHURRAMA_533E295N_S,29.54292,53.33817,old
ضریة,24.655037019423332,43.0061126851114,new
ROUTPOINT0113_351E319N_O,31.90712,35.18907,old
NIBAJ_444E263N_S,26.35812,44.45181,old
MARMAJANNA_084E354N_S,35.48917,8.40114,old
ABTIA_500E336N_S,33.62812,50.05422,old
QURAY_417E315N_S,31.51068,41.79330,old
ازميران,null,null,null
KABUL_691E345N_S,34.52442,69.16963,old
BURULLUS_309E315N_S,31.58612,30.99606,old
ROUTPOINT1617_523E364N_O,36.42534,52.31039,old
قاين,null,null,null
WALASHJIRD_572E280N_S,28.00340,57.27536,old
الراشدية,null,null,null
راس العقبة,null,null,null
DARNAWA_487E348N_S,34.84758,48.73262,old
SARMAQ_527E310N_S,31.05956,52.79142,old
قورية,null,null,null
TAMISHA_540E367N_S,36.73120,54.05573,old
JIBAL_416E362N_S,36.23740,41.62102,old
